path,subject_id,session_id,sentence_id,gender,is_control,transcript_roman,transcript
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H01_M2.wav,CF00,S1,H01,F,True,aapakei hindii pasanda karanei para khushii huii,आपके हिंदी पसंद करने पर खुशी हुई
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H02_M2.wav,CF00,S1,H02,F,True,isakei badalei mein tuma kuchha aura maanaga loo,इसके बदले में तुम कुछ और मांग लो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H03_M2.wav,CF00,S1,H03,F,True,chikitsaa kaa artha hootaa hai ilaaja,चिकित्सा का अर्थ होता है इलाज
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H04_M2.wav,CF00,S1,H04,F,True,isei aisei hii jaarii rakhein,इसे ऐसे ही जारी रखें
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H05_M2.wav,CF00,S1,H05,F,True,madada kei liyei bahuta dhanyavaada,मदद के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H06_M2.wav,CF00,S1,H06,F,True,aba joo main kahataa huuna usakaa paalana karoo,अब जो मैं कहता हूं उसका पालन करो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H07_M2.wav,CF00,S1,H07,F,True,bhaarata mein aisaa nahiin huaa hai,भारत में ऐसा नहीं हुआ है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H08_M2.wav,CF00,S1,H08,F,True,isa sahayooga heitu bhii bahuta dhanyavaada,इस सहयोग हेतु भी बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H09_M2.wav,CF00,S1,H09,F,True,para yaha sanbhava naa hoo sakaa,पर यह संभव ना हो सका
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H10_M2.wav,CF00,S1,H10,F,True,meirii baatoon ki oora dhyaana diijiyei,मेरी बातों कि और ध्यान दीजिए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H11_M2.wav,CF00,S1,H11,F,True,yahaan sei sangharshha kaa daura shuruu huaa,यहाँ से संघर्ष का दौर शुरू हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H12_M2.wav,CF00,S1,H12,F,True,doonoon mein badaa antara thaa,दोनों में बड़ा अंतर था
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H13_M2.wav,CF00,S1,H13,F,True,aapa sabhii kei sahayooga kei liyei bahuta dhanyavaada,आप सभी के सहयोग के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H14_M2.wav,CF00,S1,H14,F,True,bahuta sei looga aisaa kara rahei hai,बहुत से लोग ऐसा कर रहे है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H15_M2.wav,CF00,S1,H15,F,True,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,समय के साथ ही नहीं उससे आगे चला जाए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H16_M2.wav,CF00,S1,H16,F,True,main krikeita kheila koo kaaphii pasanda karataa huuna,मैं क्रिकेट खेल को काफी पसंद करता हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H17_M2.wav,CF00,S1,H17,F,True,shaayada samajha aa gayaa hoo,शायद समझ आ गया हो
