audio,text,speaker,utterance,mic,n_words,duration_sec,text_devnagari
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,CF00,CF00_S1_H01,M2,7,3.49475,आपके हिंदी पसंद करने पर खुशी हुई
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,CF00,CF00_S1_H02,M2,8,3.593,इसके बदले में तुम कुछ और मांग लो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,CF00,CF00_S1_H03,M2,6,2.971625,चिकित्सा का अर्थ होता है इलाज
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H04_M2.wav,isei aisei hii jaarii rakhein,CF00,CF00_S1_H04,M2,5,2.729875,इसे ऐसे ही जारी रखें
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,CF00,CF00_S1_H05,M2,5,2.7605625,मदद के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H06_M2.wav,aba joo main kahataa huuna usakaa paalana karoo,CF00,CF00_S1_H06,M2,8,3.8113125,अब जो मैं कहता हूं उसका पालन करो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa hai,CF00,CF00_S1_H07,M2,6,3.013875,भारत में ऐसा नहीं हुआ है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H08_M2.wav,isa sahayooga heitu bhii bahuta dhanyavaada,CF00,CF00_S1_H08,M2,6,3.4614375,इस सहयोग हेतु भी बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H09_M2.wav,para yaha sanbhava naa hoo sakaa,CF00,CF00_S1_H09,M2,6,2.677375,पर यह संभव ना हो सका
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H10_M2.wav,meirii baatoon ki oora dhyaana diijiyei,CF00,CF00_S1_H10,M2,6,3.007625,मेरी बातों कि और ध्यान दीजिए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H11_M2.wav,yahaan sei sangharshha kaa daura shuruu huaa,CF00,CF00_S1_H11,M2,7,3.43075,यहाँ से संघर्ष का दौर शुरू हुआ
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H12_M2.wav,doonoon mein badaa antara thaa,CF00,CF00_S1_H12,M2,5,2.36975,दोनों में बड़ा अंतर था
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H13_M2.wav,aapa sabhii kei sahayooga kei liyei bahuta dhanyavaada,CF00,CF00_S1_H13,M2,8,4.095375,आप सभी के सहयोग के लिए बहुत धन्यवाद
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H14_M2.wav,bahuta sei looga aisaa kara rahei hai,CF00,CF00_S1_H14,M2,7,2.8043125,बहुत से लोग ऐसा कर रहे है
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H15_M2.wav,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,CF00,CF00_S1_H15,M2,9,4.1773125,समय के साथ ही नहीं उससे आगे चला जाए
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H16_M2.wav,main krikeita kheila koo kaaphii pasanda karataa huuna,CF00,CF00_S1_H16,M2,8,3.538125,मैं क्रिकेट खेल को काफी पसंद करता हूं
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H17_M2.wav,shaayada samajha aa gayaa hoo,CF00,CF00_S1_H17,M2,5,2.466625,शायद समझ आ गया हो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H18_M2.wav,joo shaayada aapanei deikhaa naa hoo,CF00,CF00_S1_H18,M2,6,2.832,जो शायद आपने देखा ना हो
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\CF00\CF00_S1_H19_M2.wav,main bhuula hii gayaa thaa isa baata koo,CF00,CF00_S1_H19,M2,8,2.7384375,मैं भूला ही गया था इस बात को
