audio,text,speaker,utterance,mic,n_words,duration_sec,text_devnagari,sentence_id
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,F11,F11_S1_H01,M2,7,4.375,आपके हिंदी पसंद करने पर खुशी हुई,H01
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H02_M2.wav,isakei badalei mein tuma aura maanaga loo,F11,F11_S1_H02,M2,7,2.8813125,इसके बदले में तुम और मांग लो,H02
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,F11,F11_S1_H03,M2,6,3.5188125,चिकित्सा का अर्थ होता है इलाज,H03
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H04_M2.wav,isei aisei hii jaarii rakhein,F11,F11_S1_H04,M2,5,3.6000625,इसे ऐसे ही जारी रखें,H04
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,F11,F11_S1_H05,M2,5,2.7625625,मदद के लिए बहुत धन्यवाद,H05
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H06_M2.wav,aba joo main kahataa huuna usakaa paalana karoo,F11,F11_S1_H06,M2,8,4.5125625,अब जो मैं कहता हूं उसका पालन करो,H06
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa hai,F11,F11_S1_H07,M2,6,3.3063125,भारत में ऐसा नहीं हुआ है,H07
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H08_M2.wav,isa sahayooga heitu bhii bahuta dhanyavaada,F11,F11_S1_H08,M2,6,3.6500625,इस सहयोग हेतु भी बहुत धन्यवाद,H08
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H11_M2.wav,yahaan sei sangharshha daura shuruu huaa,F11,F11_S1_H11,M2,6,3.8375625,यहाँ से संघर्ष दौर शुरू हुआ,H11
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F11\F11_S1_H12_M2.wav,doonoon mein badaa badaa antara thaa,F11,F11_S1_H12,M2,6,3.0661875,दोनों में बड़ा बड़ा अंतर था,H12
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,F12,F12_S1_H01,M2,7,2.95625,आपके हिंदी पसंद करने पर खुशी हुई,H01
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,F12,F12_S1_H02,M2,8,2.7688125,इसके बदले में तुम कुछ और मांग लो,H02
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H03_M2.wav,chikitsaa kaa artha ilaaja hootaa hai ilaaja,F12,F12_S1_H03,M2,7,3.3938125,चिकित्सा का अर्थ इलाज होता है इलाज,H03
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H04_M2.wav,isei aisei hii jaarii rakhein,F12,F12_S1_H04,M2,5,2.1938125,इसे ऐसे ही जारी रखें,H04
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,F12,F12_S1_H05,M2,5,1.9375625,मदद के लिए बहुत धन्यवाद,H05
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H06_M2.wav,joo main kahataa huuna aba joo main kahataa huuna usakaa paalana karoo,F12,F12_S1_H06,M2,12,3.7750625,जो मैं कहता हूं अब जो मैं कहता हूं उसका पालन करो,H06
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa hai,F12,F12_S1_H07,M2,6,2.2750625,भारत में ऐसा नहीं हुआ है,H07
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H08_M2.wav,isa sahayooga heitu dhanyavaada isa sahayooga dhanyavaada,F12,F12_S1_H08,M2,7,5.3625625,इस सहयोग हेतु धन्यवाद इस सहयोग धन्यवाद,H08
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H11_M2.wav,yahaan sei sangharshha daura shuruu huaa,F12,F12_S1_H11,M2,6,3.0563125,यहाँ से संघर्ष दौर शुरू हुआ,H11
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H12_M2.wav,doonoon mein badaa antara thaa,F12,F12_S1_H12,M2,5,1.7688125,दोनों में बड़ा अंतर था,H12
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H14_M2.wav,bahuta sei looga aisaa kara rahei hai,F12,F12_S1_H14,M2,7,2.1750625,बहुत से लोग ऐसा कर रहे है,H14
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H15_M2.wav,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,F12,F12_S1_H15,M2,9,3.1755,समय के साथ ही नहीं उससे आगे चला जाए,H15
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H17_M2.wav,shaayada samajha aa gayaa hoo,F12,F12_S1_H17,M2,5,1.9313125,शायद समझ आ गया हो,H17
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H19_M2.wav,main bhuula hii gayaa thaa isa baata koo,F12,F12_S1_H19,M2,8,2.0938125,मैं भूला ही गया था इस बात को,H19
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H20_M2.wav,magara vaha bhii nahiin huaa,F12,F12_S1_H20,M2,5,1.6563125,मगर वह भी नहीं हुआ,H20
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H21_M2.wav,dara kaa artha hootaa hai bhaya,F12,F12_S1_H21,M2,6,2.0263125,दर का अर्थ होता है भय,H21
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H22_M2.wav,eika baara phira sei aabhaara,F12,F12_S1_H22,M2,5,1.6488125,एक बार फिर से आभार,H22
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H23_M2.wav,jaanei kitanei looga isei padhtei hai naa jaanei kitanei kitanei looga padhtei hai isei padhtei hai,F12,F12_S1_H23,M2,16,7.1688125,जाने कितने लोग इसे पढ़ते है ना जाने कितने कितने लोग पढ़ते है इसे पढ़ते है,H23
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H26_M2.wav,aapa yaha apanaa achchhaa kaarya aapa apanaa yaha achchhaa kaarya jaarii rakhein,F12,F12_S1_H26,M2,12,5.8375625,आप यह अपना अच्छा कार्य आप अपना यह अच्छा कार्य जारी रखें,H26
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H27_M2.wav,main bhaarata mein rahataa huuna,F12,F12_S1_H27,M2,5,1.8125625,मैं भारत में रहता हूं,H27
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F12\F12_S1_H30_M2.wav,jaldii sei jaldii kuchha kiijiei,F12,F12_S1_H30,M2,5,1.835625,जल्दी से जल्दी कुछ कीजिए,H30
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H01_M2.wav,aapakei hindii pasanda karanei para khushii huii,F29,F29_S1_H01,M2,7,2.825,आपके हिंदी पसंद करने पर खुशी हुई,H01
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H02_M2.wav,isakei badalei mein tuma kuchha aura maanaga loo,F29,F29_S1_H02,M2,8,2.9375625,इसके बदले में तुम कुछ और मांग लो,H02
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H03_M2.wav,chikitsaa kaa artha hootaa hai ilaaja,F29,F29_S1_H03,M2,6,2.2688125,चिकित्सा का अर्थ होता है इलाज,H03
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H04_M2.wav,isei aisei hii jaarii rakhein,F29,F29_S1_H04,M2,5,1.8938125,इसे ऐसे ही जारी रखें,H04
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H05_M2.wav,madada kei liyei bahuta dhanyavaada,F29,F29_S1_H05,M2,5,2.0375625,मदद के लिए बहुत धन्यवाद,H05
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H06_M2.wav,aba joo main kahataa huuna usakaa paalana karoo,F29,F29_S1_H06,M2,8,3.1188125,अब जो मैं कहता हूं उसका पालन करो,H06
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H07_M2.wav,bhaarata mein aisaa nahiin huaa huaa hai,F29,F29_S1_H07,M2,7,2.8500625,भारत में ऐसा नहीं हुआ हुआ है,H07
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H08_M2.wav,isa sahayooga heitu bhii bahuta dhanyavaada,F29,F29_S1_H08,M2,6,3.3563125,इस सहयोग हेतु भी बहुत धन्यवाद,H08
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H11_M2.wav,yahaan sei sangharshha kaa daura shuruu huaa,F29,F29_S1_H11,M2,7,2.9063125,यहाँ से संघर्ष का दौर शुरू हुआ,H11
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H12_M2.wav,doonoon mein badaa antara thaa,F29,F29_S1_H12,M2,5,1.9375625,दोनों में बड़ा अंतर था,H12
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H14_M2.wav,bahuta sei looga aisaa kara rahei kara rahei hai,F29,F29_S1_H14,M2,9,3.5875625,बहुत से लोग ऐसा कर रहे कर रहे है,H14
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H15_M2.wav,samaya kei saatha hii nahiin usasei aagei chalaa jaaei,F29,F29_S1_H15,M2,9,3.9125625,समय के साथ ही नहीं उससे आगे चला जाए,H15
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H17_M2.wav,shaayada samajha aa gayaa hoo,F29,F29_S1_H17,M2,5,2.8813125,शायद समझ आ गया हो,H17
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H19_M2.wav,main bhuula hii gayaa thaa isa baata koo,F29,F29_S1_H19,M2,8,2.7438125,मैं भूला ही गया था इस बात को,H19
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H20_M2.wav,magara vaha bhii nahiin huaa,F29,F29_S1_H20,M2,5,2.1688125,मगर वह भी नहीं हुआ,H20
C:\Users\edwin\OneDrive\Desktop\Capstone\hindi indic\HDSD\hindi_sent\F29\F29_S1_H21_M2.wav,dara kaa artha hootaa hai bhaya,F29,F29_S1_H21,M2,6,1.8750625,दर का अर्थ होता है भय,H21
